Indirizzo Completo,A-Codice fiscale,A-Denominazione,First A-Sede/U.L.,Average of Lat,Average of Long
"AVIANO AFB AREA F S.N.C., 33080, ROVEREDO IN PIANO, PN",01699990931,ARCADIA S.R.L.,UL-1,46.025682,12.612113
"BAGNOLI 366, 34018, SAN DORLIGO DELLA VALLE, TS",01072540329,IMPRESA FUNEBRE OPICINA S.R.L.,UL-2,45.602723,13.854955
"BAGNOLI D. ROSANDRA 400, 34018, SAN DORLIGO DELLA VALLE DOLINA, TS",04408930271,TECNOCOLOR S.R.L.,UL-1,45.60383,13.838263
"BAGNOLI DELLA ROSANDRA 159, 34018, SAN DORLIGO DELLA VALLE, TS",00348170101,"UNICREDIT, SOCIETA  PER AZIONI IN FORMA ABBREVIATA UNICREDIT S.P.A.",UL-6,45.610429,13.848496
"BAGNOLI DELLA ROSANDRA 227, 34018, SAN DORLIGO DELLA VALLE DOLINA, TS",00836740324,MINGOT EST - S.R.L.,UL-1,45.602723,13.854955
"BAGNOLI DELLA ROSANDRA 227/A, 34018, SAN DORLIGO DELLA VALLE DOLINA, TS",00836740324,MINGOT EST - S.R.L.,UL-2,45.602723,13.854955
"BAGNOLI DELLA ROSANDRA 33, 34018, SAN DORLIGO DELLA VALLE, TS",01068110327,FINN-MARINE S.R.L.,UL-1,45.610429,13.848496
"BAGNOLI DELLA ROSANDRA 334, 34018, SAN DORLIGO DELLA VALLE DOLINA, TS",00572680320,INTERPORTO DI TRIESTE - S.P.A.,UL-1,45.609179000000005,13.846129
"BAGNOLI DELLA ROSANDRA 334, 34018, SAN DORLIGO DELLA VALLE, TS",00348170101,CARR SERVICE SRL,UL-2,45.609106,13.84607
"BAGNOLI DELLA ROSANDRA 43, 34018, SAN DORLIGO DELLA VALLE, TS",00705860328,BEST S.R.L.,SEDE,45.610429,13.848496
"BAGNOLI DELLA ROSANDRA 467, 34018, SAN DORLIGO DELLA VALLE DOLINA, TS",01347100321,NOVE C S.R.L.,UL-1,45.602723,13.854955
"BAGNOLI DELLA ROSANDRA 601, 34018, SAN DORLIGO DELLA VALLE, TS",01230640326,NUOVA SAN GIUSTO S.R.L.,UL-1,45.610429,13.848496
"BAGNOLI DELLA ROSANDRA 612, 34018, SAN DORLIGO DELLA VALLE, TS",01237750326,TERMAG MANUTENZIONI S.R.L.,SEDE,45.610429,13.848496
"BAGNOLI DELLA ROSANDRA 636, 34018, SAN DORLIGO DELLA VALLE DOLINA, TS",01003760327,HERVAT S.R.L.,UL-1,45.602723,13.854955
"BAGNOLI DELLA ROSANDRA 64, 34018, SAN DORLIGO DELLA VALLE DOLINA, TS",01171780321,GORICA COSTRUZIONI S.R.L.,UL-1,45.614535,13.858834
"BAGNOLI DELLA ROSANDRA 66, 34018, SAN DORLIGO DELLA VALLE, TS",01878460508,TOSKANA S.R.L.,SEDE,45.610429,13.848496
"BAGNOLI DELLA ROSANDRA, 66, 34018, SAN DORLIGO DELLA VALLE, TS",00946490323,CAMAPEL S.R.L.,UL-1,45.610429,13.848496
"BAIA DI SISTIANA SNC, 34011, DUINO-AURISINA, TS",01183760311,GESTINVEST SISTIANA - SOCIETA  A RESPONSABILITA  LIMITATA,UL-1,45.7708,13.630654
"BANCHINA DELL AZOTO 15/E, 30175, VENEZIA, VE",03514300270,F.LLI CHIESURA S.R.L.,SEDE,45.467833,12.236565
"BARDELLI 4, 33035, MARTIGNACCO, UD",01980940835,DOUGLAS ITALIA S.P.A.,UL-15,46.086351,13.181996
"BASADELLA 5, 33097, SPILIMBERGO, PN",00995780228,CANTINA VINI ARMANI A. - TERRE DOMINICI  SOCIETA  A RESPONSABILITA  LIMITATA IN SIGLA CANTINA VINI ARMANI A. S.R.L. E TERRE DOMINICI S.R.L.,UL-2,46.140533,12.890288
"BASOVIZZA 256, 34149, TRIESTE, TS",01282320322,A&D RETAIL S.R.L.,SEDE,45.639996,13.857751
"BASOVIZZA SN, 34149, TRIESTE, TS",04407320284,THUNDERNIL SRL,UL-1,45.641365,13.862287
"BASOVIZZA SS 14 KM 169.5, 34149, TRIESTE, TS",14668071005,DRONUS S.P.A.,UL-1,45.6398,13.855094
"BASOVIZZA SS. 14 KM. 163,5, 34012, TRIESTE, TS",07785990156,BRACCO IMAGING S.P.A.,UL-1,45.6398,13.855094
"BASTIONI DI PORTA NUOVA 19, 20121, MILANO, MI",10311000961,INTRUM ITALY S.P.A.,SEDE,45.480001,9.188363
"BIVIO PARADISO 4, 33050, CASTIONS DI STRADA, UD",01665120307,CHIOSCO PARADISO S.R.L.,SEDE,45.864233,13.16267
"BOLLIUNZ COMUNE NC, 34018, SAN DORLIGO DELLA VALLE DOLINA, TS",02047620303,A&T 2000 S.P.A.,UL-1,45.607881,13.856732
"BORGATA COTTEM 28, 33012, SAPPADA, UD",00129730214,BANCA POPOLARE DELL ALTO ADIGE SOCIETA   PER  AZIONI,UL-1,46.568235,12.692959
"BORGATA FONTANA SNC, 33012, SAPPADA, UD",04494160270,DOLOMITES HOME S.R.L.,UL-1,46.568771,12.695635
"BORGATA LERPA SNC, 33012, SAPPADA, UD",02320450303,GILU  S.R.L.,UL-1,46.564588,12.671468
"BORGATA MURS, 33090, CLAUZETTO, PN",01459950935,PROJECTS AND PROJECTS SRL,SEDE,46.227682,12.917363
"BORGATA PERESSINE 65, 33080, PRATA DI PORDENONE, PN",01841820937,ROMAN CRISTIAN SOCIETA  A RESPONSABILITA  LIMITATA SEMPLIFICATA,SEDE,45.869625,12.587578
"BORGATA SORAVIA ., 33012, SAPPADA, UD",00843810250,FILOMENA SRL,UL-1,46.569423,12.702159
"BORGO AMPIANO 10, 33094, PINZANO AL TAGLIAMENTO, PN",01626720930,ALEOLA S.R.L.,UL-1,46.164366,12.899045
"BORGO AMPIANO 45, 33094, PINZANO AL TAGLIAMENTO, PN",01683160939,ESSERE S.R.L.,SEDE,46.164729,12.897607
"BORGO AMPIANO 75, 33094, PINZANO AL TAGLIAMENTO, PN",01456650934,DL SERVICES S.R.L.,UL-3,46.183094,12.94559
"BORGO AMPIANO SNC, 33094, PINZANO AL TAGLIAMENTO, PN",01823070931,G.M. COSTRUZIONI S.R.L.,UL-1,46.183094,12.94559
